30	3	1679	1.4
30	5	3988	1.6
308	4	1551	3.1
485	4	3679	2.4
597	4	3120	9.8
706	2	2130	5.1
806	1	1967	0.2
1086	6	1241	7.5
1125	2	1910	1.4
1125	6	4030	1.5
1445	1	2045	3.7
1519	6	1380	6.4
1529	5	2846	9.9
1560	2	3087	9.3
1737	6	802	5.3
1759	1	778	5.7
2275	6	2273	5.2
2703	1	1420	7.7
2795	5	402	1.1
2822	6	2519	8.1
395	5	2547	0.3
485	3	3396	2.4
485	6	1612	6.8
682	5	2980	9.1
744	5	1805	0.3
927	2	865	2.1
1113	3	1391	5.6
1511	6	1951	7.9
1515	3	1687	3
1519	3	955	0.6
1528	5	1890	3.8
1560	7	788	0.8
1589	3	3444	7.3
1601	4	299	6.4
1744	7	255	6.3
1767	4	2724	0.9
1802	5	1349	1.9
1843	2	3125	9.6
1930	1	3952	3.5
2033	3	1128	7.8
2706	2	378	2.9
2706	3	3696	7.5
2706	5	2125	2.2
2822	4	2195	5.8
2832	6	793	9.4
39	2	3866	1.6
275	6	2862	6.5
317	7	594	0.2
682	3	2829	0.2
1223	4	1920	7.8
1632	3	3890	0.7
1810	2	3215	0.9
1950	3	588	2.7
1991	2	685	5.2
2165	6	2020	0.2
2172	1	2115	3.5
2172	3	3575	2.4
2172	6	2918	7.4
2232	7	461	0.1
2466	6	1783	2.9
2586	1	2069	1.4
2586	3	2791	7.5
2605	6	3907	0.1
39	5	2495	9.8
275	1	2524	10
405	1	953	9.3
597	3	911	8.8
1370	7	2360	1.1
1382	1	2848	8.3
1445	5	185	6.8
1604	3	3996	0.3
1604	4	2377	3.2
1608	6	2322	8.9
1737	4	446	5
1737	7	2803	4.8
1759	6	1017	1.2
1759	7	3278	0.3
1767	3	2985	1.6
1843	3	857	10
1930	5	3950	0.4
1950	1	3199	9.5
1991	6	1555	6.6
2033	1	2977	4.8
2122	4	3469	2.7
2232	5	13	9
2425	3	1644	9.4
2425	7	775	9
2453	5	434	1.7
2539	4	1739	2.9
2683	2	2431	9.7
2703	3	1719	2.7
2760	5	2583	8.4
39	3	1717	7.3
72	7	3540	5.7
259	6	6	9
308	1	174	7
395	1	377	4.7
405	2	2288	1.1
564	2	2662	7.3
597	6	2794	4.9
744	4	3171	4.2
806	7	3975	7
1086	7	4031	3.1
1223	3	2846	6.1
1478	4	584	9.4
1759	5	1735	0.3
1767	5	4020	5.3
1771	3	2379	7.2
1790	6	1528	9.4
1894	2	3738	3.3
2033	6	2409	8.2
2425	5	3241	7.8
2539	1	1874	0.1
2539	5	124	0
2683	5	3157	8.4
2706	7	989	6.3
2767	4	2498	6.8
2850	5	2734	5.2
72	3	2289	8.6
259	7	180	4.7
317	2	1502	4.3
485	2	1025	7.5
485	5	1951	9.8
682	1	3844	9.2
736	4	3671	8.3
743	5	377	6.6
744	1	397	9.2
1113	2	1468	8.9
1125	4	960	7.7
1153	4	1173	3.3
1478	2	1035	8.8
1519	1	953	8.9
1589	4	1644	3.4
1744	2	3101	8.5
1930	4	662	7.4
1991	4	1346	4.1
2181	5	1073	8.1
2339	5	2737	9
2795	6	919	7.7
2873	3	954	7.8
2877	1	2790	7.5
2877	4	2968	6.8
2877	7	683	9.7
30	1	2608	6.1
275	7	307	3.4
564	4	2362	6.8
736	5	2526	0.6
759	1	3469	3.3
806	6	2653	5.7
837	4	3489	3.1
841	4	2305	4.5
957	3	3749	9.2
1153	6	1402	1.7
1382	4	3823	0.1
1519	2	583	6.8
1560	6	2030	4.7
1601	5	1511	6.7
1604	5	4071	5.3
1632	1	3143	1.1
1705	4	3244	2.9
2181	4	2880	2.7
2339	1	1216	8.2
2453	2	3243	5.5
2466	3	394	5.9
2494	3	1525	2.5
2494	4	3366	1.8
2494	5	513	1.9
2767	2	1338	9.5
2832	4	1913	9.9
2873	4	1285	0.9
2877	5	1609	7.3
395	6	2544	5
485	7	149	2.2
564	3	2090	2.9
564	6	3977	1.2
736	2	1273	7.2
743	3	1082	7.2
759	3	1006	3.3
759	5	3533	7.8
1113	7	787	9.3
1478	5	3262	7.6
1705	3	3307	8
1767	1	3280	6.5
1802	2	1461	2.3
1894	7	1669	4.3
1930	2	1102	9.2
1971	3	1424	8.8
1971	7	3658	6.7
1991	1	2051	4.5
1991	5	893	5.5
2122	3	2920	8.1
2165	1	844	0.1
2165	4	1232	1.8
2344	3	3373	7.9
2494	2	1161	9.6
2494	7	2774	2.7
2501	7	1859	8
2586	5	1677	3.5
2683	3	692	1.3
2795	2	3367	2.7
2850	1	4065	0.3
2873	6	3895	5.4
2877	2	2611	6.7
29	1	635	4.1
29	5	1969	4.7
72	1	3129	6.9
485	1	3521	5.5
597	7	874	5
841	5	2629	9.9
1125	1	1484	1.6
1223	5	732	4.9
1337	2	291	5.7
1608	5	3824	5.1
1737	2	3008	4.3
1744	3	2793	9.8
1744	4	982	10
1790	1	1712	2.8
1810	7	874	4.8
1843	4	1583	0.8
2035	2	3237	6.7
2035	3	1937	7.7
2165	7	2972	0.1
2275	1	222	10
2344	7	3077	3.9
2403	6	2287	5.1
2539	2	2809	7.1
2586	7	683	7.7
72	5	3977	9.5
743	1	3685	9.8
744	2	279	0.4
841	1	88	3.3
927	4	3274	8.5
1223	6	1873	4.8
1337	1	2855	8.9
1445	6	199	0.8
1498	3	1831	8.2
1511	5	1424	9.4
1515	6	3144	1.9
1560	4	1647	3.2
1589	7	485	3.6
1608	1	2694	6.8
1771	7	1855	8.9
1950	4	3737	7.8
2035	5	137	0.5
2181	1	636	4.8
2181	2	1662	0.2
2305	4	338	1.5
2466	1	1145	7.1
2466	7	2472	4.6
2605	4	2870	0.9
2635	2	4068	9.9
2703	7	3064	0.2
2767	6	4051	3.4
2795	7	765	7.8
2822	2	1284	7.1
2850	4	1237	7.7
29	4	3200	9.6
72	6	644	6.9
594	1	3586	7.3
594	4	2639	7.6
743	7	3556	2
882	2	3520	3
882	7	2429	2
957	4	224	2.8
1113	5	471	5.5
1370	2	3645	4.7
1370	6	3023	4.6
1498	1	2539	8
1498	2	2358	8.8
1511	3	1367	5.3
1529	7	3634	3.6
1604	6	3133	5.9
1632	2	2579	5.4
1705	5	770	9.5
1744	1	1810	5.4
1810	5	398	4.7
2188	1	2080	9.1
2188	2	1158	6
2188	3	1348	6.7
2232	3	2353	4.4
2232	6	975	7.9
2425	6	2800	2.2
2706	6	173	0
2760	6	2988	0.7
2767	7	1091	2.4
2850	2	403	6.8
2877	6	3566	4.2
72	2	3420	2.7
564	5	1248	3.1
594	7	3096	6.6
882	1	1508	0.7
957	2	3845	6
1337	5	3392	9.6
1382	3	2294	4.9
1528	7	590	3.2
1601	3	2110	5.2
1632	5	3302	8.5
1632	6	3763	9.9
1759	3	3892	8.4
1771	1	1263	3.2
1843	7	1787	9.8
